Date,Time,Product,ISIN,Reference exchange,Venue,Quantity,Price ,,Local value,,Value EUR,Exchange rate,AutoFX Fee,Transaction and/or third party fees EUR,Total EUR,Order ID,,
20-03-2023,08:00,FLUTTER ENTERTAINMENT PLC,IE00BWT6H894,TDG,XGAT,3,153.8500,EUR,-461.55,EUR,-461.55,,0.00,-3.90,-465.45,,3aa458a5-035d-486c-a6c8-d61818d411fb,
18-01-2023,19:16,AMAZON.COM INC,US0231351067,TDG,XGAT,112,88.7500,EUR,"-9,940.00",EUR,"-9,940.00",,0.00,-3.90,"-9,943.90",,5eed55bc-d27e-4021-957f-ec1aab8673a4,
19-12-2022,09:23,BT GROUP,GB0030913577,LSE,XLON,"2,000",113.0000,GBX,"-226,000.00",GBX,"-2,592.94",87.1596,-6.48,-4.90,"-2,597.84",,c2b3a4f6-0dfc-4703-b58c-dbab02cd3fe7,
08-11-2022,10:26,BT GROUP,GB0030913577,LSE,XLON,"2,191",116.1000,GBX,"-254,375.10",GBX,"-2,921.50",87.0701,-7.30,-4.90,"-2,926.40",,00642ffa-7488-4dd7-a644-ed6428511b98,
08-11-2022,09:24,FD TECHNOLOGIES PLC,GB0031477770,LSE,AIMX,-200,"1,466.0000",GBX,"293,200.00",GBX,"3,363.94",87.1596,-8.41,-4.90,"3,359.04",,471030ae-30d2-4716-9c4e-ac5bbb74d90b,
07-11-2022,18:08,ADR ON ALIBABA GROUP HOLDING,US01609W1027,NSY,CDED,-12,69.0800,USD,828.96,USD,827.64,1.0016,-2.07,-1.00,826.64,,0b81de52-3659-49c6-b323-0a327cf31667,
07-11-2022,18:05,HYZON MOTORS INC,US44951Y1029,NDQ,CDED,-100,1.7300,USD,173.00,USD,173.00,1.0000,-0.43,,173.00,,617c6b47-2891-4446-b63e-9b32da82bbc2,
07-11-2022,18:05,HYZON MOTORS INC,US44951Y1029,NDQ,CDED,-100,1.7300,USD,173.00,USD,173.00,1.0000,-0.43,,173.00,,617c6b47-2891-4446-b63e-9b32da82bbc2,
07-11-2022,18:05,HYZON MOTORS INC,US44951Y1029,NDQ,CDED,-100,1.7300,USD,173.00,USD,173.00,1.0000,-0.43,,173.00,,617c6b47-2891-4446-b63e-9b32da82bbc2,
07-11-2022,18:05,HYZON MOTORS INC,US44951Y1029,NDQ,CDED,-100,1.7300,USD,173.00,USD,173.00,1.0000,-0.43,,173.00,,617c6b47-2891-4446-b63e-9b32da82bbc2,
07-11-2022,18:05,HYZON MOTORS INC,US44951Y1029,NDQ,CDED,-91,1.7300,USD,157.43,USD,157.43,1.0000,-0.39,,157.43,,617c6b47-2891-4446-b63e-9b32da82bbc2,
07-11-2022,18:05,HYZON MOTORS INC,US44951Y1029,NDQ,CDED,-100,1.7300,USD,173.00,USD,173.00,1.0000,-0.43,,173.00,,617c6b47-2891-4446-b63e-9b32da82bbc2,
07-11-2022,18:05,HYZON MOTORS INC,US44951Y1029,NDQ,CDED,-78,1.7300,USD,134.94,USD,134.94,1.0000,-0.34,,134.94,,617c6b47-2891-4446-b63e-9b32da82bbc2,
07-11-2022,18:05,HYZON MOTORS INC,US44951Y1029,NDQ,CDED,-200,1.7300,USD,346.00,USD,346.00,1.0000,-0.87,-1.00,345.00,,617c6b47-2891-4446-b63e-9b32da82bbc2,
13-10-2022,09:00,BT GROUP,GB0030913577,LSE,XLON,800,119.0000,GBX,"-95,200.00",GBX,"-1,086.52",87.6194,-2.72,-4.90,"-1,091.42",,96e29893-7b41-4876-8693-1a89132dab13,
03-10-2022,15:33,BT GROUP,GB0030913577,LSE,MESI,9,126.4000,GBX,"-1,137.60",GBX,-13.08,86.9694,-0.03,-4.90,-17.98,,0c0f34a8-7524-405a-9b65-9c5cbdc97164,
19-08-2022,17:46,ROBINHOOD MARKETS INC,US7707001027,NDQ,ARCX,-16,9.3200,USD,149.12,USD,148.44,1.0046,-0.37,,148.44,,8d06e5e6-18ce-406c-ae56-a2434fe767d6,
19-08-2022,17:38,ROBINHOOD MARKETS INC,US7707001027,NDQ,ARCX,-4,9.3200,USD,37.28,USD,37.11,1.0046,-0.09,-0.50,36.61,,8d06e5e6-18ce-406c-ae56-a2434fe767d6,
18-08-2022,09:09,BOOST EURO STOXX BANKS 3X LEVERAGE DAILY,IE00BLS09N40,MIL,ETFP,295,2.9200,EUR,-861.40,EUR,-861.40,,0.00,-2.50,-863.90,,dbb8b606-cdd4-486f-a535-4fc96d06db2c,
